player_id,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
68050,"1,2루",0.217,23,5,0,0,0,4,0,0,5,1
68050,"1,3루",0.500,2,1,1,0,0,5,1,0,0,0
68050,"2,3루",0.667,6,4,2,0,1,9,0,0,1,0
68050,만루,0.111,9,1,0,0,1,6,1,0,2,0
68050,주자있음,0.290,100,29,6,1,3,34,19,0,17,1
68050,득점권,0.345,58,20,5,0,2,31,13,0,10,1
68050,0-0,0.409,22,9,1,0,3,5,2,0,0,0
68050,1-0,0.222,9,2,0,0,0,1,1,0,0,0
68050,2-0,0.250,8,2,0,0,1,2,0,0,0,0
68050,3-0,-,0,0,0,0,0,1,6,0,0,0
68050,0-1,0.333,18,6,2,0,0,2,0,0,0,0
68050,1-1,0.391,23,9,3,0,0,7,0,0,0,0
68050,2-1,0.444,9,4,0,0,1,3,0,0,0,0
68050,3-1,0.167,6,1,0,0,0,2,16,0,0,0
68050,0-2,0.214,14,3,0,0,0,0,0,0,8,0
68050,1-2,0.229,48,11,2,1,0,3,0,0,17,1
68050,2-2,0.196,46,9,1,0,2,9,0,0,16,0
68050,3-2,0.200,35,7,1,0,1,4,6,0,14,0
68050,1회,0.395,43,17,3,0,2,5,2,0,10,0
68050,2회,0.222,18,4,1,0,2,7,2,0,8,0
68050,3회,0.313,32,10,1,1,1,4,3,0,5,0
68050,4회,0.318,22,7,2,0,1,6,4,0,4,0
68050,5회,0.222,27,6,1,0,1,6,5,0,5,0
68050,6회,0.185,27,5,2,0,0,3,3,0,6,0
68050,7회,0.182,22,4,0,0,1,2,4,0,7,0
68050,8회,0.207,29,6,0,0,0,5,3,0,7,0
68050,9회,0.308,13,4,0,0,0,1,5,0,2,0
68050,연장,0.000,5,0,0,0,0,0,0,0,1,1
68050,1~3회,0.333,93,31,5,1,5,16,7,0,23,0
68050,4~6회,0.237,76,18,5,0,2,15,12,0,15,0
68050,7회이후,0.203,69,14,0,0,1,8,12,0,17,1
68050,1번타자,0.273,44,12,2,0,0,6,4,0,8,0
68050,2번타자,0.297,91,27,5,0,4,13,13,0,17,0
68050,3번타자,0.342,38,13,2,1,1,10,5,0,8,0
68050,4번타자,0.222,9,2,0,0,1,2,4,0,3,0
68050,5번타자,0.188,16,3,0,0,1,2,1,0,5,0
68050,6번타자,0.167,24,4,0,0,0,1,2,0,7,1
68050,7번타자,0.111,9,1,0,0,1,3,2,0,4,0
68050,8번타자,0.167,6,1,1,0,0,2,0,0,2,0
68050,9번타자,0.000,1,0,0,0,0,0,0,0,1,0
68050,좌투수,0.267,60,16,1,0,2,14,5,0,14,0
68050,우투수,0.240,150,36,7,1,5,15,24,0,36,1
68050,언더투수,0.393,28,11,2,0,1,10,2,0,5,0
68050,0아웃,0.214,84,18,3,0,4,9,8,0,17,0
68050,1아웃,0.338,77,26,6,1,2,12,9,0,19,1
68050,2아웃,0.247,77,19,1,0,2,18,14,0,19,0
63123,주자없음,0.251,211,53,9,1,3,3,11,4,67,0
63123,1루,0.287,87,25,3,4,1,6,6,0,19,5
63123,2루,0.242,33,8,1,0,1,5,2,1,11,0
63123,3루,0.286,14,4,0,0,0,5,0,0,4,0
63123,"1,2루",0.256,43,11,3,0,1,13,6,1,7,6
63123,"1,3루",0.625,8,5,2,1,0,9,1,0,0,0
63123,"2,3루",0.286,7,2,0,0,0,6,0,0,0,0
