선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
켈리,LG,투수,27,27,166 1/3,0,2,10,23,2,1.0,0,0,0,-
플럿코,LG,투수,28,28,162,0,0,1,11,1,1.0,0,0,0,-
한석현,LG,우익수,2,1,12,0,0,3,0,0,1.000,0,0,0,-
한석현,LG,좌익수,1,0,5,0,0,2,0,0,1.000,0,0,0,-
한석현,LG,중견수,3,0,10,0,0,2,0,0,1.000,0,0,0,-
함덕주,LG,투수,13,0,12 2/3,0,0,0,1,0,1.000,0,0,0,-
허도환,LG,포수,63,27,254 2/3,0,0,211,13,0,1.0,3,22,2,8.3
허준혁,LG,투수,6,0,4 2/3,0,0,0,0,0,-,0,0,0,-
홍창기,LG,좌익수,5,2,25 2/3,0,0,10,0,0,1.000,0,0,0,-
홍창기,LG,중견수,16,2,44,0,0,14,0,0,1.000,0,0,0,-
홍창기,LG,우익수,104,97,828 2/3,1,0,165,6,3,0.994,0,0,0,-
